City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,oranjemund,-28.55,16.4333,71.49200000000002,25,2,4.78,NA,08/10/2023
142,saint-philippe,-21.3585,55.7679,67.58600000000007,82,41,3.36,RE,08/10/2023
143,cill airne,52.05,-9.5167,62.113999999999976,88,94,4.41,IE,08/10/2023
144,altai,46.3722,96.2583,62.29400000000004,53,4,5.02,MN,08/10/2023
145,fale old settlement,-9.3852,-171.2468,82.50799999999998,78,31,6.58,TK,08/10/2023
146,san antonio de pale,-1.4014,5.6325,74.4260000000001,79,95,5.08,GQ,08/10/2023
147,howrah,22.5892,88.3103,85.99999999999994,79,40,4.12,IN,08/10/2023
148,enewetak,11.3474,162.3373,83.786,75,68,6.52,MH,08/10/2023
149,keflavik,64.0049,-22.5624,54.03199999999998,76,0,3.6,IS,08/10/2023
150,masumbwe,-3.6333,32.1833,65.10200000000003,63,2,2.64,TZ,08/10/2023
151,port mathurin,-19.6833,63.4167,72.1760000000001,75,7,5.67,MU,08/10/2023
152,naze,28.3667,129.4833,83.31800000000004,78,21,5.49,JP,08/10/2023
153,novyy urgal,51.0736,132.5642,79.93399999999991,36,6,1.59,RU,08/10/2023
154,fort st. john,56.2499,-120.8529,67.892,45,75,7.2,CA,08/10/2023
155,happy valley-goose bay,53.3168,-60.3315,59.30599999999998,82,100,1.54,CA,08/10/2023
156,saiha,22.4833,92.9667,71.92399999999992,99,100,0.25,IN,08/10/2023
157,petropavlovsk-kamchatsky,53.0452,158.6483,72.19400000000002,49,40,4.0,RU,08/10/2023
158,ribeira grande,38.5167,-28.7,70.77199999999999,86,88,2.24,PT,08/10/2023
159,ashland,40.8167,-82.2665,72.13999999999993,95,100,2.87,US,08/10/2023
160,puerto ayora,-0.7393,-90.3518,75.54199999999997,92,46,1.79,EC,08/10/2023
161,erdenet,49.0333,104.0833,69.47600000000006,69,35,2.61,MN,08/10/2023
162,the pas,53.8251,-101.2541,53.617999999999995,87,0,0.0,CA,08/10/2023
163,wloclawek,52.6482,19.0678,51.52999999999997,80,100,2.76,PL,08/10/2023
164,afaahiti,-17.75,-149.2833,78.67399999999992,72,97,7.01,PF,08/10/2023
165,klyuchi,52.2667,79.1667,74.33600000000007,39,87,2.56,RU,08/10/2023
166,pombas,17.1503,-25.0201,76.78399999999993,73,79,5.24,CV,08/10/2023
167,pisco,-13.7,-76.2167,64.45400000000001,88,40,3.09,PE,08/10/2023
168,pascagoula,30.3658,-88.5561,87.83600000000007,78,0,2.06,US,08/10/2023
169,iquique,-20.2208,-70.1431,66.23600000000005,77,57,1.56,CL,08/10/2023
170,kisangani,0.5167,25.2,71.13199999999989,94,99,1.01,CD,08/10/2023
171,lichtenburg,-26.152,26.1597,42.99799999999999,77,1,4.28,ZA,08/10/2023
172,page,36.9147,-111.4558,82.18399999999991,43,0,8.94,US,08/10/2023
173,castillos,-34.1667,-53.8333,57.811999999999955,94,100,5.71,UY,08/10/2023
174,tofol,5.3248,163.0078,82.84999999999997,78,58,4.26,FM,08/10/2023
175,kangding,30.0513,101.9603,71.94199999999995,70,99,1.75,CN,08/10/2023
176,soto la marina,23.7667,-98.2167,82.14799999999997,83,0,6.78,MX,08/10/2023
177,tantou,26.0314,119.5986,83.96599999999995,89,20,2.0,CN,08/10/2023
178,plettenberg bay,-34.0527,23.3716,59.48600000000005,66,31,2.22,ZA,08/10/2023
179,mahmutlar,36.949,36.1923,75.56,88,56,0.67,TR,08/10/2023
180,pizarro,4.9533,-77.366,79.03399999999993,87,100,0.92,CO,08/10/2023
181,altus,34.6381,-99.334,87.31400000000002,62,0,4.63,US,08/10/2023
182,ulladulla,-35.35,150.4667,61.24999999999994,53,83,7.53,AU,08/10/2023
183,waspan,14.7419,-83.9717,77.64799999999997,93,99,1.43,NI,08/10/2023
184,essaouira,31.5125,-9.77,89.09599999999995,69,20,2.06,MA,08/10/2023
185,santa maria da boa vista,-8.8078,-39.8256,71.13199999999989,66,7,6.62,BR,08/10/2023
186,tiquipaya,-17.3382,-66.2189,59.97200000000004,33,6,2.57,BO,08/10/2023
187,galliano,29.4422,-90.2992,85.99999999999994,70,0,3.09,US,08/10/2023
188,el nido,11.1858,119.3956,84.16400000000004,77,50,6.48,PH,08/10/2023
189,susuman,62.7833,148.1667,59.79199999999997,45,6,1.18,RU,08/10/2023
190,afua,-0.1567,-50.3867,76.65799999999996,89,39,2.93,BR,08/10/2023
191,port lincoln,-34.7333,135.8667,58.622000000000014,56,33,4.5,AU,08/10/2023
192,carnarvon,-24.8667,113.6333,74.19199999999995,54,2,2.95,AU,08/10/2023
193,bayganin,48.6947,55.8742,67.47800000000001,67,0,6.47,KZ,08/10/2023
194,maxixe,-23.8597,35.3472,65.28199999999998,74,14,4.0,MZ,08/10/2023
195,mazagao,-0.115,-51.2894,82.45400000000001,92,69,1.89,BR,08/10/2023
196,nicoya,10.1483,-85.452,77.70200000000006,89,53,1.09,CR,08/10/2023
197,margaret river,-33.95,115.0667,53.43799999999993,79,100,1.99,AU,08/10/2023
198,kununurra,-15.7667,128.7333,85.98199999999991,25,49,4.12,AU,08/10/2023
199,laguna,38.421,-121.4238,85.44199999999995,51,0,3.09,US,08/10/2023
200,keetmanshoop,-26.5833,18.1333,65.31800000000004,19,3,6.17,NA,08/10/2023
201,jayapura,-2.5333,140.7,92.58800000000002,71,41,2.94,ID,08/10/2023
202,quellon,-43.1167,-73.6167,48.452,93,100,7.72,CL,08/10/2023
203,sunland park,31.7965,-106.58,97.24999999999994,26,0,10.29,US,08/10/2023
204,mwinilunga,-11.7358,24.4293,57.920000000000016,39,0,3.3,ZM,08/10/2023
205,polovinnoye,54.7914,65.9864,67.47800000000001,66,72,4.99,RU,08/10/2023
206,kourou,5.1552,-52.6478,78.85399999999998,88,24,3.66,GF,08/10/2023
207,bereket,39.2446,55.5154,89.92399999999992,21,0,1.51,TM,08/10/2023
